MJD,Altitude,Latitude,Longitude,SPS,Alpha
32319,2.46E+02,0.00E+00,230.251996,64.690669,90
32319.00069,2.50E+02,3.56E+00,232.036074,64.951367,90
32319.00139,2.62E+02,7.10E+00,233.819139,65.335945,90
32319.00208,2.82E+02,1.06E+01,235.610466,65.839468,90
32319.00278,3.10E+02,1.40E+01,237.41931,66.454579,90
32319.00347,3.45E+02,1.74E+01,239.254646,67.171741,90
32319.00417,3.87E+02,2.07E+01,241.124977,67.979644,90
32319.00486,4.35E+02,2.39E+01,243.03823,68.865729,90
32319.00556,4.90E+02,2.69E+01,245.001728,69.816789,90
32319.00625,5.49E+02,2.99E+01,247.022206,70.819566,90
32319.00694,6.14E+02,3.27E+01,249.105848,71.861281,90
32319.00764,6.83E+02,3.54E+01,251.258302,72.930044,90
32319.00833,7.55E+02,3.79E+01,253.484666,74.015136,90
32319.00903,8.32E+02,4.03E+01,255.789413,75.107164,90
32319.00972,9.12E+02,4.25E+01,258.176267,76.198095,90
32319.01042,9.94E+02,4.46E+01,260.648035,77.281222,90
32319.01111,1.08E+03,4.66E+01,263.206392,78.351068,90
32319.01181,1.17E+03,4.84E+01,265.851647,79.403262,90
32319.0125,1.26E+03,5.00E+01,268.582503,80.434397,90
32319.01319,1.35E+03,5.16E+01,271.395829,81.441901,90
32319.01389,1.44E+03,5.29E+01,274.286472,82.423901,90
32319.01458,1.53E+03,5.42E+01,277.247143,83.379106,90
32319.01528,1.63E+03,5.53E+01,280.268389,84.30671,90
32319.01597,1.72E+03,5.63E+01,283.338678,85.206293,90
32319.01667,1.82E+03,5.72E+01,286.444614,86.077752,90
32319.01736,1.92E+03,5.79E+01,289.571276,86.921234,90
32319.01806,2.02E+03,5.85E+01,292.70267,87.737082,90
32319.01875,2.11E+03,5.91E+01,295.822262,88.52579,90
32319.01944,2.21E+03,5.95E+01,298.913548,89.287968,90
32319.02014,2.31E+03,5.98E+01,301.960628,90.024309,90
32319.02083,2.41E+03,6.00E+01,304.948718,90.735569,90
32319.02153,2.51E+03,6.02E+01,307.864575,91.422541,90
32319.02222,2.61E+03,6.02E+01,310.696809,92.086043,90
32319.02292,2.71E+03,6.02E+01,313.436062,92.726907,90
32319.02361,2.80E+03,6.02E+01,316.075071,93.345964,90
32319.02431,2.90E+03,6.00E+01,318.608624,93.944038,90
32319.025,3.00E+03,5.99E+01,321.033419,94.521941,90
32319.02569,3.10E+03,5.97E+01,323.347881,95.080469,90
32319.02639,3.19E+03,5.94E+01,325.55193,95.620395,90
32319.02708,3.29E+03,5.91E+01,327.646744,96.142471,90
32319.02778,3.39E+03,5.88E+01,329.634513,96.647421,90
32319.02847,3.48E+03,5.84E+01,331.518224,97.135946,90
32319.02917,3.58E+03,5.80E+01,333.301453,97.608718,90
32319.02986,3.67E+03,5.76E+01,334.988194,98.066382,90
32319.03056,3.77E+03,5.72E+01,336.582707,98.509559,90
32319.03125,3.86E+03,5.68E+01,338.089399,98.938842,90
32319.03194,3.95E+03,5.64E+01,339.512724,99.354796,90
32319.03264,4.04E+03,5.59E+01,340.857107,99.757963,90
32319.03333,4.14E+03,5.55E+01,342.126889,100.148862,90
32319.03403,4.23E+03,5.50E+01,343.326279,100.527985,90
32319.03472,4.32E+03,5.45E+01,344.459327,100.895803,90
32319.03542,4.41E+03,5.40E+01,345.529906,101.252765,90
32319.03611,4.50E+03,5.36E+01,346.541695,101.5993,90
32319.03681,4.58E+03,5.31E+01,347.498179,101.935816,90
32319.0375,4.67E+03,5.26E+01,348.402644,102.262701,90
32319.03819,4.76E+03,5.21E+01,349.258181,102.580327,90
32319.03889,4.85E+03,5.16E+01,350.067693,102.889048,90
32319.03958,4.93E+03,5.12E+01,350.833898,103.1892,90
32319.04028,5.02E+03,5.07E+01,351.559341,103.481104,90
32319.04097,5.10E+03,5.02E+01,352.246403,103.765068,90
32319.04167,5.18E+03,4.97E+01,352.897304,104.041384,90
32319.04236,5.27E+03,4.93E+01,353.514122,104.31033,90
32319.04306,5.35E+03,4.88E+01,354.098793,104.572173,90
32319.04375,5.43E+03,4.83E+01,354.653127,104.827167,90
32319.04444,5.51E+03,4.79E+01,355.178811,105.075555,90
32319.04514,5.59E+03,4.74E+01,355.677423,105.317567,90
32319.04583,5.67E+03,4.70E+01,356.150435,105.553426,90
32319.04653,5.75E+03,4.65E+01,356.599222,105.783342,90
32319.04722,5.83E+03,4.61E+01,357.02507,106.007518,90
32319.04792,5.91E+03,4.56E+01,357.42918,106.226148,90
32319.04861,5.98E+03,4.52E+01,357.812676,106.439415,90
32319.04931,6.06E+03,4.47E+01,358.176611,106.647498,90
32319.05,6.14E+03,4.43E+01,358.521971,106.850564,90
32319.05069,6.21E+03,4.39E+01,358.849679,107.048777,90
32319.05139,6.29E+03,4.34E+01,359.1606,107.242291,90
32319.05208,6.36E+03,4.30E+01,359.455549,107.431255,90
