lat_m90,lat_m86,lat_m82,lat_m78,lat_m74,lat_m70,lat_m67,lat_m63,lat_m59,lat_m55,lat_m51,lat_m47,lat_m44,lat_m40,lat_m36,lat_m32,lat_m28,lat_m24,lat_m21,lat_m17,lat_m13,lat_m9,lat_m5,lat_m1,lat_1,lat_5,lat_9,lat_13,lat_17,lat_21,lat_24,lat_28,lat_32,lat_36,lat_40,lat_44,lat_47,lat_51,lat_55,lat_59,lat_63,lat_67,lat_70,lat_74,lat_78,lat_82,lat_86,lat_90,altitude,sza,latit
5.07E-20,2.40E-23,9.36E-24,5.61E-23,3.13E-22,1.50E-21,3.82E-21,5.01E-21,6.32E-21,7.37E-21,6.63E-21,2.33E-21,6.61E-22,3.18E-22,1.98E-22,1.47E-22,1.03E-22,9.48E-23,9.04E-23,7.23E-23,7.13E-23,7.22E-23,8.49E-23,1.02E-22,1.28E-22,1.35E-22,1.28E-22,1.08E-22,8.05E-23,6.99E-23,7.84E-23,9.49E-23,1.16E-22,1.36E-22,1.46E-22,1.64E-22,4.47E-22,2.94E-19,1.57E-16,1.64E-14,3.19E-13,2.50E-12,7.91E-12,1.97E-11,4.10E-11,8.08E-11,1.31E-10,1.73E-10,0,1.14E+02,-90.00
4.81E-19,1.85E-21,1.06E-21,4.95E-21,2.14E-20,8.07E-20,2.27E-19,3.07E-19,4.22E-19,5.37E-19,3.61E-19,2.39E-19,1.16E-19,3.31E-20,1.84E-20,1.05E-20,4.94E-21,2.21E-21,1.79E-21,1.26E-21,1.09E-21,1.09E-21,1.14E-21,1.14E-21,1.19E-21,1.29E-21,1.41E-21,1.60E-21,1.66E-21,1.73E-21,1.86E-21,1.94E-21,2.08E-21,2.05E-21,1.84E-21,1.80E-21,3.15E-21,1.28E-18,6.38E-16,5.44E-14,1.29E-12,8.14E-12,2.25E-11,3.95E-11,5.97E-11,1.04E-10,1.45E-10,1.92E-10,7352.94,1.18E+02,-86.00
2.03E-18,5.52E-20,2.76E-20,1.01E-19,6.05E-19,4.31E-18,2.08E-17,5.07E-17,8.69E-17,8.40E-17,3.83E-17,1.65E-17,6.44E-18,1.80E-18,7.00E-19,2.84E-19,1.08E-19,3.49E-20,2.93E-20,1.55E-20,9.85E-21,8.37E-21,7.32E-21,5.39E-21,4.17E-21,3.51E-21,2.90E-21,3.87E-21,3.09E-21,3.39E-21,4.35E-21,5.02E-21,6.31E-21,6.71E-21,6.68E-21,8.15E-21,1.38E-20,3.71E-18,1.76E-15,1.66E-13,4.19E-12,2.36E-11,5.93E-11,1.05E-10,1.68E-10,3.56E-10,5.10E-10,7.59E-10,14705.9,1.22E+02,-82.00
1.97E-17,6.17E-18,2.02E-18,1.56E-17,2.24E-16,1.11E-15,3.35E-15,5.84E-15,7.49E-15,2.58E-15,5.01E-16,1.44E-16,5.78E-17,2.99E-17,2.27E-17,1.72E-17,1.04E-17,4.22E-18,3.05E-18,1.07E-18,3.82E-19,2.66E-19,2.69E-19,2.15E-19,1.79E-19,1.46E-19,9.33E-20,1.27E-19,7.88E-20,6.91E-20,7.64E-20,8.22E-20,1.15E-19,1.22E-19,1.09E-19,1.38E-19,2.06E-19,1.70E-17,9.37E-15,1.97E-12,4.42E-11,1.97E-10,4.86E-10,9.15E-10,1.56E-09,4.47E-09,6.17E-09,1.01E-08,22058.8,1.26E+02,-78.00
1.23E-12,1.92E-12,2.02E-12,1.86E-11,5.41E-11,1.37E-10,2.30E-10,6.40E-10,1.36E-09,8.80E-10,1.06E-10,4.69E-11,1.26E-11,7.02E-13,1.96E-13,6.25E-14,4.98E-15,3.96E-16,2.48E-16,1.05E-16,5.44E-17,4.24E-17,4.32E-17,3.25E-17,3.00E-17,2.73E-17,1.78E-17,3.34E-17,1.88E-17,1.28E-17,1.33E-17,1.10E-17,1.53E-17,1.41E-17,1.49E-17,2.12E-17,3.08E-17,4.74E-16,2.13E-13,1.11E-10,2.09E-09,6.86E-09,1.24E-08,1.82E-08,2.52E-08,5.04E-08,6.62E-08,9.68E-08,29411.8,1.29E+02,-74.00
4.63E-09,3.02E-06,6.34E-07,3.76E-06,9.09E-06,7.42E-06,6.54E-06,2.19E-06,5.43E-07,5.26E-08,6.40E-08,6.54E-08,6.20E-08,3.14E-08,3.99E-08,6.49E-08,7.45E-08,3.79E-08,6.01E-08,2.47E-08,9.50E-09,7.23E-09,8.27E-09,2.52E-09,4.12E-11,7.24E-12,1.54E-12,3.37E-12,2.81E-12,2.98E-12,4.89E-12,4.08E-12,7.58E-12,3.81E-13,4.08E-13,1.28E-12,6.62E-12,5.36E-11,9.28E-10,1.70E-08,8.65E-08,1.40E-07,1.73E-07,1.99E-07,2.34E-07,4.12E-07,4.71E-07,6.05E-07,36764.7,1.33E+02,-70.00
4.86E-04,8.31E-04,4.16E-04,3.45E-04,2.77E-04,1.62E-04,9.49E-05,3.40E-05,9.01E-06,2.09E-06,4.52E-07,2.30E-07,3.19E-07,4.17E-07,5.46E-07,7.17E-07,9.49E-07,1.13E-06,1.59E-06,1.28E-06,1.12E-06,1.20E-06,1.32E-06,1.19E-06,1.03E-06,8.64E-07,6.42E-07,1.05E-06,7.93E-07,7.16E-07,7.41E-07,6.46E-07,6.49E-07,4.99E-07,3.15E-07,3.33E-07,3.88E-07,5.01E-07,6.52E-07,9.19E-07,1.19E-06,1.26E-06,1.35E-06,1.44E-06,1.54E-06,2.27E-06,2.46E-06,3.08E-06,44117.6,1.37E+02,-67.00
3.92E-03,4.40E-03,2.78E-03,2.09E-03,1.22E-03,5.36E-04,2.53E-04,1.34E-04,1.03E-04,8.40E-05,5.14E-05,2.85E-05,1.69E-05,8.44E-06,9.72E-06,1.26E-05,1.36E-05,1.02E-05,1.19E-05,8.23E-06,6.72E-06,6.40E-06,6.74E-06,6.83E-06,7.13E-06,7.23E-06,6.37E-06,9.04E-06,7.58E-06,7.30E-06,7.96E-06,7.60E-06,7.86E-06,6.73E-06,4.82E-06,4.17E-06,4.02E-06,4.38E-06,4.95E-06,5.85E-06,6.66E-06,7.07E-06,7.37E-06,7.31E-06,7.32E-06,1.29E-05,1.35E-05,1.67E-05,51470.6,1.41E+02,-63.00
1.02E-02,1.03E-02,6.91E-03,4.57E-03,2.34E-03,1.07E-03,5.44E-04,3.61E-04,3.25E-04,3.22E-04,3.14E-04,3.13E-04,3.02E-04,2.35E-04,2.30E-04,2.39E-04,2.38E-04,1.87E-04,2.27E-04,1.27E-04,4.85E-05,4.17E-05,4.10E-05,3.96E-05,4.02E-05,4.04E-05,3.79E-05,4.69E-05,4.12E-05,3.88E-05,3.93E-05,3.76E-05,3.91E-05,3.71E-05,3.51E-05,3.66E-05,3.89E-05,4.25E-05,4.51E-05,4.75E-05,5.01E-05,5.26E-05,5.64E-05,5.87E-05,5.96E-05,7.87E-05,7.74E-05,9.12E-05,58823.5,1.45E+02,-59.00
1.62E-02,1.58E-02,1.09E-02,6.61E-03,3.38E-03,1.61E-03,9.53E-04,7.02E-04,6.08E-04,5.66E-04,5.38E-04,5.52E-04,5.83E-04,5.88E-04,6.33E-04,7.02E-04,7.93E-04,8.79E-04,1.14E-03,1.22E-03,1.20E-03,1.21E-03,1.17E-03,9.28E-04,6.95E-04,5.02E-04,3.36E-04,3.53E-04,2.46E-04,1.97E-04,1.81E-04,1.49E-04,1.40E-04,1.20E-04,1.14E-04,1.21E-04,1.34E-04,1.53E-04,1.69E-04,1.79E-04,1.84E-04,1.87E-04,1.93E-04,2.00E-04,2.07E-04,2.69E-04,2.81E-04,3.27E-04,66176.5,1.49E+02,-55.00
